image_name,true_label,pred_label,true_idx,pred_idx
0066a1d365d658fe32.jpg,淡红,红,0,2
07a796442ae8d580e0.jpg,淡红,红,0,2
09c714cc3e3b8c4a5c.jpg,淡红,红,0,2
0c65201892b9b5cc2f.jpg,紫,绛,4,3
0d5203577f6e1dbc8c.jpg,淡红,红,0,2
1050109245301dab11.jpg,绛,红,3,2
1739693404954.jpg,白,淡红,1,0
1739693701534.jpg,淡红,红,0,2
1739693701555.jpg,紫,红,4,2
1739693701565.jpg,紫,红,4,2
1739693701570.jpg,淡红,红,0,2
1739693701585.jpg,白,红,1,2
1739693819649.jpg,白,淡红,1,0
1739694034963.jpg,淡红,红,0,2
1739694080557.jpg,紫,红,4,2
1739694106497.jpg,白,淡红,1,0
1739694344281.jpg,淡红,红,0,2
1739694641909.jpg,白,淡红,1,0
1739694823453.jpg,淡红,红,0,2
1da50371b11724e80a.jpg,绛,红,3,2
1f8012632a7e40da43.jpg,淡红,红,0,2
210eb3cc414bcdddec.jpg,紫,红,4,2
281c7f2e5ce25cd99f.jpg,紫,红,4,2
28e213fdfabde611de.jpg,淡红,红,0,2
33e505b6b350b2bfd1.jpg,绛,红,3,2
3dd3a91d2eaa0b75e1.jpg,紫,红,4,2
42ef3157a331448f12.jpg,紫,红,4,2
442cdd19f7c4398252.jpg,淡红,红,0,2
474be577bacdb29d4b.jpg,淡红,红,0,2
4d21d32b76fe02813b.jpg,白,红,1,2
4fa4859f5dc42ccd2a.jpg,紫,红,4,2
54685b47240cbf6bbd.jpg,淡红,红,0,2
54da4b92011d379ef0.jpg,绛,红,3,2
5607e20d7d454283b0.jpg,白,红,1,2
58b6b21f2b922ce45e.jpg,淡红,绛,0,3
5be0e54231d171f069.jpg,绛,红,3,2
611983fd6e2b9cf50b.jpg,白,红,1,2
63383020e173213147.jpg,淡红,红,0,2
63f6f573a3c447ac8d.jpg,紫,红,4,2
65b3bca331c2708cdb.jpg,淡红,红,0,2
70cbe9d223ef8342f7.jpg,淡红,红,0,2
797736a34ed359677b.jpg,紫,绛,4,3
7a0f0e5cdc4fde77a1.jpg,淡红,红,0,2
918cfb863d74dfca4b.jpg,淡红,红,0,2
9d6033cfe3641565ce.jpg,淡红,绛,0,3
9e3e9cf4940b94bf5d.jpg,淡红,红,0,2
a11d917cd01bfb8c87.jpg,白,红,1,2
a2ab77096e82dae020.jpg,绛,红,3,2
a36b5c13119af6dd44.jpg,淡红,红,0,2
a695655070a7921504.jpg,淡红,红,0,2
a86e36883edf5d2fa2.jpg,淡红,红,0,2
a8cb09445aff56e9c4.jpg,淡红,红,0,2
a98267707cf7baae08.jpg,淡红,红,0,2
b174efe7ce8c0b2e20.jpg,绛,红,3,2
b55ab7085bdd807988.jpg,绛,红,3,2
b967d8c12edc3420dd.jpg,白,淡红,1,0
c490ff2dd9abd17e98.jpg,淡红,红,0,2
c6bf8efd79cedf244d.jpg,绛,红,3,2
d7a25df55bdf25f378.jpg,白,红,1,2
d8ef461824fa3da0fd.jpg,淡红,红,0,2
ef26f6709696e4f021.jpg,绛,红,3,2
f79baca1000a363a1c.jpg,紫,淡红,4,0
snapa0003.jpg,淡红,红,0,2
snapa0004.jpg,紫,红,4,2
snapa0005.jpg,淡红,红,0,2
snapa0010.jpg,紫,红,4,2
snapa0016.jpg,淡红,红,0,2
snapa0018.jpg,淡红,红,0,2
snapa0021.jpg,白,红,1,2
snapa0023.jpg,淡红,红,0,2
snapa0025.jpg,淡红,红,0,2
snapa0027.jpg,绛,红,3,2
snapa0029.jpg,淡红,红,0,2
snapa0033.jpg,淡红,红,0,2
snapa0034.jpg,淡红,红,0,2
snapa0037.jpg,淡红,红,0,2
snapa0038.jpg,淡红,红,0,2
snapa0040.jpg,紫,红,4,2
snapa0042.jpg,淡红,红,0,2
snapa0043.jpg,绛,红,3,2
snapa0045.jpg,淡红,红,0,2
snapa0047.jpg,紫,红,4,2
snapa0049.jpg,紫,红,4,2
snapa0050.jpg,淡红,红,0,2
